Q2 beta x xp*sigmaD(3) dstat dsys dtot
35.0 0.1 0.00130 0.0314 8.7 6.9 11.1
35.0 0.1 0.00200 0.0272 9.0 9.8 13.3
35.0 0.1 0.00320 0.0335 8.9 15.3 17.7
35.0 0.2 0.00050 0.0452 16.5 5.0 17.2
35.0 0.2 0.00080 0.0372 8.6 3.1 9.1
35.0 0.2 0.00130 0.0270 9.0 3.5 9.7
35.0 0.2 0.00200 0.0322 7.9 5.1 9.4
35.0 0.2 0.00320 0.0271 8.0 11.6 14.1
35.0 0.2 0.00500 0.0283 8.3 12.5 15.0
35.0 0.4 0.00050 0.0487 16.9 4.6 17.5
35.0 0.4 0.00080 0.0473 10.3 3.5 10.9
35.0 0.4 0.00130 0.0357 10.4 4.4 11.3
35.0 0.4 0.00200 0.0293 10.8 3.5 11.3
35.0 0.4 0.00320 0.0240 10.1 4.8 11.2
35.0 0.4 0.00500 0.0274 9.5 6.0 11.2
35.0 0.4 0.00800 0.0330 10.5 9.7 14.3
35.0 0.65 0.00050 0.0694 16.5 9.0 18.8
35.0 0.65 0.00080 0.0441 10.9 4.6 11.8
35.0 0.65 0.00130 0.0448 9.6 4.4 10.6
35.0 0.65 0.00200 0.0427 9.8 3.0 10.3
35.0 0.65 0.00320 0.0282 10.6 4.2 11.4
35.0 0.65 0.00500 0.0343 9.9 4.8 11.0
35.0 0.65 0.00800 0.0450 10.6 6.8 12.5
35.0 0.9 0.00050 0.0197 43.2 22.8 48.9
35.0 0.9 0.00080 0.0333 22.1 20.5 30.1
35.0 0.9 0.00130 0.0284 18.7 10.6 21.5
35.0 0.9 0.00200 0.0221 18.6 8.3 20.3
35.0 0.9 0.00320 0.0334 15.7 7.6 17.4
35.0 0.9 0.00500 0.0195 18.0 8.6 19.9
35.0 0.9 0.00800 0.0206 20.5 9.7 22.7
45.0 0.04 0.00080 0.0449 12.2 8.7 15.0
45.0 0.04 0.00130 0.0408 9.2 13.9 16.7
45.0 0.04 0.00200 0.0462 15.1 22.4 27.0
45.0 0.1 0.00080 0.0335 16.0 5.1 16.8
45.0 0.1 0.00130 0.0398 9.7 7.2 12.1
45.0 0.1 0.00200 0.0305 10.3 10.4 14.6
45.0 0.1 0.00320 0.0267 11.2 14.2 18.1
45.0 0.1 0.00500 0.0283 13.7 25.4 28.9
45.0 0.2 0.00080 0.0265 33.3 4.7 33.6
45.0 0.2 0.00130 0.0338 10.1 6.4 12.0
